,id,tconst,release_date,revenue,budget
399,526771,tt6794482,2017-04-01,0,0
400,133557,tt2132485,2012-10-22,0,0
401,133558,tt2082415,2012-08-17,0,0
402,526775,tt6974888,2018-04-15,0,0
403,526780,tt6866652,2017-05-28,0,0
404,133571,tt2136959,2012-01-18,0,0
405,264644,tt3170832,2015-10-16,35401758,13000000
406,2501,tt0258463,2002-06-14,214034224,60000000
407,2502,tt0372183,2004-07-23,288500217,75000000
408,2503,tt0440963,2007-08-03,442824138,70000000
409,264656,tt2398231,2014-05-18,3442853,16000000
410,264660,tt0470752,2014-12-16,36869414,15000000
411,264706,tt2317407,2013-04-07,0,0
412,526856,tt5664082,2016-10-27,0,100000
413,395791,tt2400760,2013-01-01,0,0
414,395797,tt3924782,2016-05-06,0,0
415,395800,tt2870406,2016-05-01,0,30000
416,395802,tt5759068,2016-04-16,0,0
417,395813,tt3115694,2014-09-28,0,0
418,395814,tt2331047,2017-09-08,0,0
419,264744,tt2245137,2012-03-17,0,5700000
420,395820,tt5571750,2016-04-15,0,0
421,133682,tt1871329,2011-05-14,0,0
422,264759,tt5698100,2014-04-15,0,0
423,395834,tt5362988,2017-08-03,44998252,11000000
424,264763,tt3576072,2014-04-20,0,0
425,395836,tt4668860,2016-02-16,0,0
426,133694,tt2091473,2012-09-23,8138788,15000000
427,395841,tt5057140,2018-09-22,0,0
428,133698,tt1986843,2012-10-29,0,0
429,133701,tt2285752,2012-09-25,0,0
430,133704,tt2270274,2012-07-24,0,0
431,395852,tt5602074,2016-04-19,0,0
432,526933,,2018-05-25,0,0
433,526934,tt6368508,2018-07-25,0,0
434,395869,tt4288286,2014-12-13,0,0
435,133734,tt2250432,2012-09-21,0,0
436,133738,tt1652361,2012-09-21,0,0
437,395883,tt4073890,2015-11-08,0,0
438,133741,tt1541153,2012-09-19,0,0
439,133743,tt1988190,2012-09-04,0,0
440,133749,,2012-09-18,0,0
441,133756,tt2526138,2013-01-19,0,0
442,133758,tt1975283,2013-03-12,0,0
443,395916,tt5461456,2016-04-27,0,0
444,395925,tt4146622,2016-08-26,0,0
445,133786,tt2509922,2012-09-19,0,0
446,395932,tt3583370,2016-05-03,0,0
447,133790,tt2279864,2013-08-10,0,0
448,395938,tt4059702,2016-05-13,0,0
449,527014,tt8327962,2018-02-24,0,1000000
450,395948,tt5325492,2018-02-23,0,0
451,133805,tt1939659,2013-10-16,82394288,30000000
452,264891,tt1928144,2014-03-11,0,0
453,133823,tt2088714,2012-02-11,0,0
454,395990,tt1137450,2018-03-02,34017028,30000000
455,395991,tt3829920,2017-09-22,25754775,38000000
456,395992,tt5442430,2017-03-22,100541806,58000000
457,395993,tt3881784,2017-09-22,8484418,30000000
458,264923,tt2230619,2012-01-01,0,0
459,396011,tt3003980,2016-04-11,0,0
460,133878,tt2369025,2012-10-19,0,0
461,133879,tt2239100,2012-09-25,0,0
462,264982,tt3468600,2014-04-22,0,0
463,133911,tt2167924,2012-06-01,0,0
464,133919,tt6725014,1974-09-15,0,150000
465,264999,tt2268016,2015-07-01,117813057,14800000
466,133931,tt1488181,2012-06-05,0,20000000
467,265004,tt1877808,2011-05-15,0,0
468,265010,tt2517658,2014-10-10,0,0
469,396084,,2016-05-24,0,0
470,396087,tt5132230,2016-05-21,0,0
471,265016,tt2960930,2014-10-17,0,0
472,265018,tt2815072,2014-04-16,0,0
473,396093,tt5709762,2016-06-05,0,0
474,133953,tt1841840,2011-10-12,0,0
475,396099,tt4607748,2016-06-03,0,0
476,396104,tt3718824,2015-09-26,0,100000
477,396106,tt5575342,2016-03-18,0,0
478,396109,tt5661030,2016-05-01,500,0
479,396121,tt3772612,2016-09-01,0,0
480,396126,tt5684868,2016-05-22,0,0
481,265061,tt2962860,2014-02-28,0,0
482,2924,tt0101393,1991-05-24,152368585,75000000
483,396152,tt4517738,2016-05-03,0,0
484,396153,tt3875576,2015-04-18,0,0
485,265090,tt2313311,2014-03-14,0,0
486,527251,tt8647924,2018-11-08,0,0
487,396185,,2012-01-20,0,0
488,396237,tt3584390,2016-06-24,0,0
489,134096,tt2248944,2012-08-16,0,0
490,265169,tt2758880,2014-06-13,0,0
491,265177,tt3612616,2014-05-22,3494070,4900000
492,265180,tt2802154,2014-09-24,4396821,4000000
493,396254,tt1634144,2012-04-22,0,0
494,396260,tt1754597,2010-01-01,0,0
495,265189,tt2121382,2014-08-15,4094339,0
496,265195,tt3011894,2014-08-21,27007072,4000000
497,134132,tt1877893,2012-10-12,0,0
498,265208,tt2231253,2015-01-14,0,30000000
499,396289,tt5274066,2017-03-09,0,600000
500,134147,tt1732169,2011-05-15,0,0
501,396292,tt5066574,2016-05-06,0,0
502,527364,tt3767208,2018-05-22,0,0
503,265226,tt3044244,2014-05-22,0,0
504,265228,tt3409392,2014-12-10,1076075,0
505,527384,,2016-04-22,0,0
506,396321,tt5685006,2018-08-17,0,0
507,265252,tt2630272,2014-03-21,0,10
508,396330,tt5612702,2016-06-21,0,0
509,134197,tt2129990,2012-05-20,0,0
510,527415,tt8489090,2018-06-21,0,0
511,527419,,2017-10-01,0,0
512,527422,,2018-05-30,0,0
513,527427,tt7973916,2018-08-17,0,0
514,265289,tt3681414,2014-05-02,0,0
515,527435,tt2990140,2018-11-22,0,0
516,396371,tt4209788,2017-01-01,59284015,30000000
517,396373,tt5436228,2018-04-25,0,0
518,265312,tt3181400,2016-01-29,0,4000000
519,396386,tt5663298,2017-06-10,0,0
520,396389,tt5358948,2016-05-06,0,0
521,396390,tt5672502,2016-06-05,0,0
522,396392,tt5670394,2016-06-03,0,0
523,396393,tt5688480,2016-06-11,0,0
524,396394,tt5668196,2016-06-18,0,0
525,396395,tt5775370,2016-06-25,0,0
526,396398,tt5536736,2017-10-13,0,0
527,134255,tt2075373,2012-10-28,0,0
528,265330,tt3682160,2014-04-17,0,0
529,134260,tt2351393,2012-04-01,0,0
530,527481,tt2392432,2013-10-19,0,0
531,527483,tt5280328,2016-01-01,0,0
532,265347,tt2745684,2014-04-06,0,0
533,527493,tt8481050,2018-05-31,0,0
534,396422,tt5140878,2017-08-03,306515884,15000000
535,396424,,2016-03-05,0,0
536,396451,tt5233738,2016-01-26,0,0
537,396458,tt4869340,2015-09-27,0,0
538,134316,,2012-07-04,0,0
539,396461,tt5691670,2018-06-21,2053469,8500000
540,265394,tt3663890,2014-04-13,0,0
541,134327,tt1859441,2011-09-04,0,0
542,134335,tt1885235,2011-05-04,0,0
543,396493,tt3654796,2017-10-14,0,0
544,134350,tt2409302,2013-09-14,0,0
545,134362,tt1545473,2010-01-01,0,0
546,396508,tt3719434,2016-04-05,0,0
547,134366,tt2231554,2012-10-12,0,0
548,134371,tt1985017,2012-10-12,0,0
549,134372,tt2628830,2012-01-12,0,0
550,134374,tt1980209,2013-04-18,87305549,25000000
551,134375,tt2308733,2012-11-25,0,0
552,265449,tt3625352,2014-10-17,0,0
553,134380,tt2389344,2012-09-21,5876918,22361
554,396528,tt5583930,2016-04-20,0,0
555,134394,tt1861279,2012-09-25,0,0
556,134406,tt1645141,2011-10-21,0,1
557,396550,tt5695936,2016-06-01,0,0
558,134409,tt2321249,2012-03-11,0,0
559,134411,tt0882977,2013-02-21,42930462,35000000
